timestamp,region,temperature_c,it_load_mw,carbon_intensity_gco2,water_usage_l
2026-01-01 00:00:00,Arizona,19.78,27.42,438.19,0.65
2026-01-01 01:00:00,Arizona,20.93,29.86,450.23,8.28
2026-01-01 02:00:00,Arizona,25.33,32.36,438.49,50.38
2026-01-01 03:00:00,Arizona,21.64,35.9,438.99,3.77
2026-01-01 04:00:00,Arizona,22.27,39.69,449.69,11.47
2026-01-01 05:00:00,Arizona,26.35,41.97,438.61,208.33
2026-01-01 06:00:00,Arizona,31.7,51.41,430.95,1011.0
2026-01-01 07:00:00,Arizona,26.03,55.25,390.64,157.61
2026-01-01 08:00:00,Arizona,32.51,61.74,400.12,1129.22
2026-01-01 09:00:00,Arizona,32.22,63.44,385.44,1085.86
2026-01-01 10:00:00,Arizona,31.88,67.23,368.32,1039.91
2026-01-01 11:00:00,Arizona,37.19,69.46,363.4,1829.23
2026-01-01 12:00:00,Arizona,36.63,69.26,347.84,1749.52
2026-01-01 13:00:00,Arizona,36.43,71.08,340.29,1719.64
2026-01-01 14:00:00,Arizona,31.71,68.09,354.04,1009.9
2026-01-01 15:00:00,Arizona,40.32,66.04,345.04,2298.16
2026-01-01 16:00:00,Arizona,37.85,63.54,362.75,1932.26
2026-01-01 17:00:00,Arizona,34.97,54.94,357.93,1501.83
2026-01-01 18:00:00,Arizona,35.02,48.19,356.49,1506.01
2026-01-01 19:00:00,Arizona,35.38,42.67,370.93,1564.05
2026-01-01 20:00:00,Arizona,32.72,41.57,396.0,1166.17
2026-01-01 21:00:00,Arizona,28.31,36.49,394.78,501.62
2026-01-01 22:00:00,Arizona,24.74,33.15,428.61,8.7
2026-01-01 23:00:00,Arizona,23.59,28.81,436.5,2.09
2026-01-02 00:00:00,Arizona,22.29,25.61,438.59,1.09
2026-01-02 01:00:00,Arizona,19.98,30.0,442.84,10.61
2026-01-02 02:00:00,Arizona,19.22,34.12,435.21,17.74
2026-01-02 03:00:00,Arizona,22.39,37.11,448.52,2.4
2026-01-02 04:00:00,Arizona,23.71,43.48,458.49,8.18
2026-01-02 05:00:00,Arizona,24.89,45.0,427.12,13.88
2026-01-02 06:00:00,Arizona,25.45,48.73,443.74,75.72
2026-01-02 07:00:00,Arizona,24.87,54.31,418.15,4.05
2026-01-02 08:00:00,Arizona,27.94,60.77,392.84,449.73
2026-01-02 09:00:00,Arizona,28.79,61.77,391.7,571.28
2026-01-02 10:00:00,Arizona,30.47,67.49,376.02,838.93
2026-01-02 11:00:00,Arizona,36.63,69.49,359.99,1756.21
2026-01-02 12:00:00,Arizona,37.05,69.66,341.86,1818.44
2026-01-02 13:00:00,Arizona,40.79,72.77,363.16,2375.47
2026-01-02 14:00:00,Arizona,39.81,70.08,342.14,2222.25
2026-01-02 15:00:00,Arizona,38.39,61.72,333.92,2010.55
2026-01-02 16:00:00,Arizona,38.24,61.58,351.42,2011.72
2026-01-02 17:00:00,Arizona,33.79,56.51,363.42,1322.03
2026-01-02 18:00:00,Arizona,34.22,53.79,368.96,1395.03
2026-01-02 19:00:00,Arizona,32.19,44.58,372.9,1092.38
2026-01-02 20:00:00,Arizona,28.15,42.62,402.91,498.06
2026-01-02 21:00:00,Arizona,26.65,36.84,395.44,248.57
2026-01-02 22:00:00,Arizona,23.39,34.51,414.17,10.51
2026-01-02 23:00:00,Arizona,25.99,29.15,450.4,159.44
